example_id                                                                  | status | run_time        |
--------------------------------------------------------------------------- | ------ | --------------- |
./spec/controllers/content_items_controller_spec.rb[1:1:1]                  | passed | 0.01135 seconds |
./spec/controllers/content_items_controller_spec.rb[1:1:2]                  | passed | 0.01629 seconds |
./spec/controllers/content_items_controller_spec.rb[1:2:1]                  | passed | 0.0233 seconds  |
./spec/controllers/content_items_controller_spec.rb[1:2:2]                  | passed | 0.03634 seconds |
./spec/controllers/content_items_controller_spec.rb[1:2:3]                  | passed | 0.02153 seconds |
./spec/controllers/content_items_controller_spec.rb[1:2:4]                  | passed | 0.02339 seconds |
./spec/controllers/groups_controller_spec.rb[1:1:1:1]                       | passed | 0.00893 seconds |
./spec/controllers/groups_controller_spec.rb[1:2:1]                         | passed | 0.01337 seconds |
./spec/controllers/groups_controller_spec.rb[1:2:2]                         | passed | 0.04573 seconds |
./spec/controllers/groups_controller_spec.rb[1:3:1]                         | passed | 0.01141 seconds |
./spec/controllers/groups_controller_spec.rb[1:4:1:1]                       | passed | 0.01191 seconds |
./spec/controllers/groups_controller_spec.rb[1:4:1:2]                       | passed | 0.01009 seconds |
./spec/controllers/groups_controller_spec.rb[1:4:1:3]                       | passed | 0.0093 seconds  |
./spec/controllers/groups_controller_spec.rb[1:4:2:1]                       | passed | 0.00804 seconds |
./spec/controllers/groups_controller_spec.rb[1:5:1]                         | passed | 0.01196 seconds |
./spec/controllers/groups_controller_spec.rb[1:5:2]                         | passed | 0.01149 seconds |
./spec/domain/report_spec.rb[1:1]                                           | passed | 0.01496 seconds |
./spec/domain/report_spec.rb[1:2]                                           | passed | 0.01588 seconds |
./spec/domain/report_spec.rb[1:3]                                           | passed | 0.01837 seconds |
./spec/domain/report_spec.rb[1:4]                                           | passed | 0.01502 seconds |
./spec/domain/search/audit_filter_spec.rb[1:1]                              | passed | 0.00132 seconds |
./spec/domain/search/audit_filter_spec.rb[1:2:1]                            | passed | 0.03354 seconds |
./spec/domain/search/audit_filter_spec.rb[1:2:2]                            | passed | 0.05005 seconds |
./spec/domain/search/link_filter_spec.rb[1:1]                               | passed | 0.00155 seconds |
./spec/domain/search/link_filter_spec.rb[1:2:1]                             | passed | 0.0473 seconds  |
./spec/domain/search/link_filter_spec.rb[1:2:2]                             | passed | 0.04621 seconds |
./spec/domain/search/query_spec.rb[1:1:1]                                   | passed | 0.00142 seconds |
./spec/domain/search/query_spec.rb[1:1:2]                                   | passed | 0.00146 seconds |
./spec/domain/search/query_spec.rb[1:1:3]                                   | passed | 0.00135 seconds |
./spec/domain/search/query_spec.rb[1:2:1]                                   | passed | 0.00144 seconds |
